,SG_UF,NR_ZONA,NR_LOCAL_VOTACAO,2009,2010,2011,2013,2015,2020,SY_MODELOS_DISTINTOS
0,AC,1,1015,0,0,0,0,26,0,1
1,AC,1,1023,0,0,0,0,23,0,1
2,AC,1,1031,0,0,0,0,25,24,2
3,AC,1,1040,0,0,0,0,4,0,1
4,AC,1,1058,0,0,0,0,0,4,1
5,AC,1,1066,4,0,0,0,6,30,3
6,AC,1,1074,0,0,0,0,7,15,2
7,AC,1,1082,8,0,0,0,13,0,2
8,AC,1,1090,0,0,0,0,7,24,2
9,AC,1,1104,0,0,0,0,7,0,1
10,AC,1,1112,0,0,0,0,8,0,1
11,AC,1,1139,0,0,0,0,10,19,2
12,AC,1,1147,0,0,0,0,2,0,1
13,AC,1,1163,0,0,0,0,6,0,1
14,AC,1,1171,0,0,0,0,4,16,2
15,AC,1,1180,0,0,0,0,3,15,2
16,AC,1,1198,0,0,0,0,11,0,1
17,AC,1,1201,0,0,0,0,7,0,1
18,AC,1,1210,0,0,0,0,8,0,1
19,AC,1,1236,0,0,0,0,0,23,1
20,AC,1,1260,0,0,0,0,0,16,1
21,AC,1,1279,0,0,0,0,0,20,1
22,AC,1,1295,0,0,0,0,0,22,1
23,AC,1,1317,0,0,0,0,0,26,1
24,AC,1,1325,0,0,0,0,0,8,1
25,AC,1,1384,0,0,0,0,0,12,1
26,AC,1,1465,0,0,0,0,0,12,1
27,AC,1,1473,0,0,0,0,0,16,1
28,AC,1,1490,0,0,0,0,0,16,1
29,AC,1,1546,0,0,0,0,0,8,1
30,AC,1,1554,0,0,0,0,0,8,1
31,AC,1,1589,0,0,0,0,0,12,1
32,AC,1,1600,0,0,0,0,0,12,1
33,AC,1,1643,0,0,0,0,0,19,1
34,AC,1,1651,0,0,0,0,0,8,1
35,AC,1,1694,0,0,0,0,0,24,1
36,AC,1,1708,0,0,0,0,0,22,1
37,AC,1,1759,8,0,0,0,0,0,1
38,AC,1,1783,13,0,0,0,0,0,1
39,AC,1,1848,0,0,0,0,0,16,1
40,AC,1,1856,0,0,0,0,0,16,1
41,AC,1,1872,0,0,0,0,0,23,1
42,AC,1,1929,0,0,0,0,0,23,1
43,AC,1,1961,0,0,0,0,0,4,1
44,AC,1,1988,0,0,0,0,0,12,1
45,AC,1,1996,0,0,0,0,0,20,1
46,AC,1,2054,0,0,0,0,0,24,1
47,AC,1,2089,0,0,0,0,0,16,1
48,AC,1,2100,0,0,0,0,0,8,1
49,AC,1,2313,0,0,0,0,0,19,1
50,AC,1,2321,0,0,0,0,0,3,1
51,AC,1,2402,0,0,0,0,0,16,1
52,AC,1,2461,0,0,0,0,0,4,1
53,AC,1,2470,0,0,0,0,0,20,1
54,AC,1,2488,0,0,0,0,0,4,1
55,AC,1,2500,0,0,0,0,0,8,1
56,AC,1,2526,0,0,0,0,0,11,1
57,AC,1,2534,0,0,0,0,0,10,1
58,AC,1,2542,0,0,0,0,0,24,1
59,AC,1,2550,0,0,0,0,0,21,1
60,AC,1,2569,0,0,0,0,0,28,1
61,AC,1,2577,0,0,0,0,0,12,1
62,AC,1,2585,0,0,0,0,0,11,1
63,AC,1,2615,0,0,0,0,0,4,1
64,AC,1,2666,12,0,0,0,0,0,1
65,AC,1,2674,0,0,0,0,0,12,1
66,AC,1,2690,0,0,0,0,0,19,1
67,AC,1,2712,0,0,0,0,0,19,1
68,AC,1,2720,0,0,0,0,0,15,1
69,AC,1,2755,0,0,0,0,0,4,1
70,AC,1,2763,0,0,0,0,0,10,1
71,AC,1,2771,0,0,0,0,0,7,1
72,AC,1,2780,0,0,0,0,0,10,1
73,AC,1,2798,0,0,0,0,0,12,1
74,AC,1,2801,4,0,0,0,0,8,2
75,AC,1,2810,0,0,0,0,0,15,1
76,AC,1,2828,0,0,0,0,0,12,1
77,AC,1,2836,0,0,0,0,0,8,1
78,AC,1,2844,0,0,0,0,0,7,1
79,AC,1,2852,0,0,0,0,0,8,1
80,AC,1,2860,0,0,0,0,0,7,1
81,AC,1,2895,0,0,0,0,0,20,1
82,AC,1,2909,0,0,0,0,0,5,1
83,AC,1,2917,0,0,0,0,0,8,1
84,AC,1,2933,0,0,0,0,0,8,1
85,AC,1,2950,0,0,0,0,0,4,1
86,AC,1,2968,0,0,0,0,0,7,1
87,AC,1,2976,0,0,0,0,0,4,1
88,AC,1,3000,0,0,0,0,0,4,1
89,AC,1,3018,0,0,0,0,0,4,1
90,AC,1,3026,0,0,0,0,0,8,1
91,AC,1,3034,0,0,0,0,0,12,1
92,AC,1,3042,0,0,0,0,0,8,1
93,AC,1,3050,0,0,0,0,0,4,1
94,AC,1,3093,7,0,0,0,0,0,1
95,AC,1,3115,3,0,0,0,0,0,1
96,AC,1,3174,0,0,0,0,0,16,1
97,AC,1,3247,0,0,0,0,0,20,1
98,AC,1,3255,0,0,0,0,0,16,1
99,AC,1,3263,0,0,0,0,0,8,1
100,AC,1,3280,0,0,0,0,0,19,1
101,AC,1,3298,0,0,0,0,0,20,1
102,AC,1,3301,0,0,0,0,0,12,1
103,AC,1,3310,0,0,0,0,0,20,1
104,AC,1,3328,0,0,0,0,0,20,1
105,AC,1,3336,0,0,0,0,0,20,1
106,AC,1,3344,0,0,0,0,0,20,1
107,AC,1,3352,0,0,0,0,0,15,1
108,AC,1,3360,0,0,0,0,0,20,1
109,AC,1,3379,0,0,0,0,0,24,1
110,AC,1,3387,0,0,0,0,0,8,1
111,AC,1,3395,0,0,0,0,0,12,1
112,AC,1,3409,0,0,0,0,0,3,1
113,AC,1,3425,0,0,0,0,0,19,1
114,AC,1,3433,0,0,0,0,0,12,1
115,AC,1,3441,0,0,0,0,0,12,1
116,AC,1,3450,0,0,0,0,0,4,1
117,AC,1,3468,0,0,0,0,0,27,1
118,AC,1,3492,0,0,0,0,0,24,1
119,AC,1,3506,0,0,0,0,0,20,1
120,AC,1,3514,0,0,0,0,0,4,1
121,AC,1,3522,0,0,0,0,0,12,1
122,AC,1,3549,0,0,0,0,0,16,1
123,AC,1,3557,8,0,0,0,0,0,1
124,AC,1,3565,0,0,0,0,0,7,1
125,AC,1,3573,0,0,0,0,0,16,1
126,AC,1,3581,0,0,0,0,0,19,1
127,AC,1,3590,0,0,0,0,0,16,1
128,AC,1,3603,0,0,0,0,0,8,1
129,AC,1,3611,0,0,0,0,0,24,1
130,AC,1,3620,0,0,0,0,0,7,1
131,AC,1,3638,0,0,0,0,0,16,1
132,AC,1,3646,0,0,0,0,0,12,1
133,AC,1,3662,0,0,0,0,0,7,1
134,AC,1,3670,0,0,0,0,0,15,1
135,AC,1,3689,0,0,0,0,0,16,1
136,AC,1,3697,0,0,0,0,0,8,1
137,AC,1,3700,0,0,0,0,0,19,1
138,AC,1,3719,0,0,0,0,0,4,1
139,AC,1,3735,0,0,0,0,0,16,1
140,AC,1,3743,0,0,0,0,0,20,1
141,AC,1,3751,0,0,0,0,0,31,1
142,AC,1,3778,0,0,0,0,0,8,1
143,AC,1,3786,0,0,0,0,0,4,1
144,AC,1,3840,0,0,0,0,0,4,1
145,AC,2,1015,39,0,0,0,0,0,1
146,AC,2,1023,15,0,0,0,0,0,1
147,AC,2,1031,35,0,0,0,0,0,1
148,AC,2,1058,10,0,0,0,0,0,1
149,AC,2,1066,15,0,0,0,0,0,1
150,AC,2,1074,11,0,0,0,0,0,1
151,AC,2,1082,29,0,0,0,0,0,1
152,AC,2,1104,3,0,0,0,0,0,1
153,AC,2,1112,7,0,0,0,0,0,1
154,AC,2,1120,15,0,0,0,0,0,1
155,AC,2,1139,6,0,0,0,0,0,1
156,AC,2,1155,14,0,0,0,0,0,1
157,AC,2,1171,4,0,0,0,0,0,1
158,AC,2,1180,3,0,0,0,0,0,1
159,AC,2,1198,3,0,0,0,0,0,1
160,AC,2,1201,6,0,0,0,0,0,1
161,AC,2,1210,4,0,0,0,0,0,1
162,AC,2,1228,5,0,0,0,0,0,1
163,AC,2,1236,14,0,0,0,0,0,1
164,AC,2,1244,8,0,0,0,0,0,1
165,AC,2,1252,15,0,0,0,0,0,1
166,AC,2,1260,8,0,0,0,0,0,1
167,AC,2,1279,15,0,0,0,0,0,1
168,AC,2,1287,8,0,0,0,0,0,1
169,AC,3,1015,4,0,0,34,0,0,2
170,AC,3,1023,0,0,0,35,0,0,1
171,AC,3,1031,0,0,0,20,0,0,1
172,AC,3,1040,0,0,0,18,0,0,1
173,AC,3,1058,0,0,0,7,0,0,1
174,AC,3,1066,0,0,0,22,0,0,1
175,AC,3,1074,0,0,0,4,0,0,1
176,AC,3,1082,0,0,0,11,0,0,1
177,AC,3,1090,0,0,0,8,0,0,1
178,AC,3,1104,0,0,0,13,0,0,1
179,AC,3,1112,0,0,0,19,0,0,1
180,AC,3,1120,0,0,0,15,0,0,1
181,AC,3,1139,0,0,0,10,0,0,1
182,AC,3,1147,0,0,0,7,0,0,1
183,AC,3,1155,0,0,0,13,0,0,1
184,AC,3,1171,0,0,0,7,0,0,1
185,AC,3,1180,0,0,0,15,0,0,1
186,AC,3,1198,0,0,0,8,0,0,1
187,AC,3,1228,0,0,0,16,0,0,1
188,AC,3,1244,0,0,0,40,0,0,1
189,AC,3,1252,0,0,0,29,0,0,1
190,AC,3,1260,0,0,0,16,0,0,1
191,AC,3,1279,0,0,0,14,0,0,1
192,AC,3,1287,0,0,0,10,0,0,1
193,AC,3,1295,0,0,0,16,0,0,1
194,AC,3,1309,0,0,0,18,0,0,1
195,AC,3,1333,0,0,0,10,0,0,1
196,AC,3,1341,0,0,0,5,0,0,1
197,AC,3,1376,0,0,0,7,0,0,1
198,AC,3,1384,0,0,0,7,0,0,1
199,AC,3,1392,0,0,0,14,0,0,1
200,AC,3,1406,0,0,0,3,0,0,1
201,AC,3,1414,0,0,0,4,0,0,1
202,AC,3,1422,0,0,0,4,0,0,1
203,AC,3,1430,0,0,0,4,0,0,1
204,AC,3,1449,0,0,0,4,0,0,1
205,AC,3,1457,0,0,0,4,0,0,1
206,AC,3,1465,0,0,0,4,0,0,1
207,AC,3,1473,0,0,0,8,0,0,1
208,AC,3,1481,0,0,0,7,0,0,1
209,AC,3,1503,0,0,0,4,0,0,1
210,AC,3,1511,0,0,0,4,0,0,1
211,AC,3,1520,0,0,0,4,0,0,1
212,AC,3,1538,0,0,0,4,0,0,1
213,AC,3,1546,0,0,0,3,0,0,1
214,AC,3,1554,0,0,0,3,0,0,1
215,AC,3,1562,0,0,0,3,0,0,1
216,AC,4,1015,0,73,0,0,0,0,1
217,AC,4,1023,0,68,0,0,0,0,1
218,AC,4,1031,0,78,0,0,0,0,1
219,AC,4,1040,0,39,0,0,0,0,1
220,AC,4,1058,4,44,0,0,0,0,2
221,AC,4,1066,0,54,0,0,0,0,1
222,AC,4,1074,4,34,0,0,0,0,2
223,AC,4,1082,0,18,0,0,0,0,1
224,AC,4,1090,0,22,0,0,0,0,1
225,AC,4,1104,4,22,0,0,0,0,2
226,AC,4,1112,0,16,0,0,0,0,1
227,AC,4,1120,0,62,0,0,0,0,1
228,AC,4,1139,0,29,0,0,0,0,1
229,AC,4,1147,0,43,0,0,0,0,1
230,AC,4,1155,8,45,0,0,0,0,2
231,AC,4,1163,0,15,0,0,0,0,1
232,AC,4,1171,0,22,0,0,0,0,1
233,AC,4,1180,0,10,0,0,0,0,1
234,AC,4,1198,0,23,0,0,0,0,1
235,AC,4,1201,0,15,0,0,0,0,1
236,AC,4,1210,0,15,0,0,0,0,1
237,AC,4,1228,8,24,0,0,0,0,2
238,AC,4,1236,0,6,0,0,0,0,1
239,AC,4,1244,0,10,0,0,0,0,1
240,AC,4,1295,11,17,0,0,0,0,2
241,AC,4,1309,4,10,0,0,0,0,2
242,AC,4,1325,0,6,0,0,0,0,1
243,AC,4,1333,0,13,0,0,0,0,1
244,AC,4,1350,0,20,0,0,0,0,1
245,AC,4,1368,0,12,0,0,0,0,1
246,AC,4,1376,0,11,0,0,0,0,1
247,AC,4,1384,0,25,0,0,0,0,1
248,AC,4,1392,4,27,0,0,0,0,2
249,AC,4,1406,0,16,0,0,0,0,1
250,AC,4,1422,0,16,0,0,0,0,1
251,AC,4,1457,0,15,0,0,0,0,1
252,AC,4,1473,7,8,0,0,0,0,2
253,AC,4,1481,0,20,0,0,0,0,1
254,AC,4,1520,8,11,0,0,0,0,2
255,AC,4,1554,16,12,0,0,0,0,2
256,AC,4,1570,3,10,0,0,0,0,2
257,AC,4,1597,0,12,0,0,0,0,1
258,AC,4,1600,11,4,0,0,0,0,2
259,AC,4,1619,4,12,0,0,0,0,2
260,AC,4,1643,0,18,0,0,0,0,1
261,AC,4,1783,0,15,0,0,0,0,1
262,AC,4,1791,0,23,0,0,0,0,1
263,AC,4,2089,3,9,0,0,0,0,2
264,AC,4,2097,0,11,0,0,0,0,1
265,AC,4,2100,0,15,0,0,0,0,1
266,AC,4,2127,8,11,0,0,0,0,2
267,AC,4,2135,4,12,0,0,0,0,2
268,AC,4,2143,8,12,0,0,0,0,2
269,AC,4,2151,4,7,0,0,0,0,2
270,AC,4,2160,4,14,0,0,0,0,2
271,AC,4,2186,0,7,0,0,0,0,1
272,AC,4,2194,0,6,0,0,0,0,1
273,AC,4,2208,0,10,0,0,0,0,1
274,AC,4,2216,0,3,0,0,0,0,1
275,AC,4,2224,3,3,0,0,0,0,2
276,AC,4,2232,0,12,0,0,0,0,1
277,AC,4,2240,0,11,0,0,0,0,1
278,AC,4,2259,0,7,0,0,0,0,1
279,AC,4,2267,0,3,0,0,0,0,1
280,AC,4,2275,0,3,0,0,0,0,1
281,AC,4,2291,0,3,0,0,0,0,1
282,AC,4,2305,0,3,0,0,0,0,1
283,AC,4,2313,0,4,0,0,0,0,1
284,AC,4,2321,0,2,0,0,0,0,1
285,AC,4,2330,0,4,0,0,0,0,1
286,AC,4,2348,8,4,0,0,0,0,2
287,AC,4,2356,0,4,0,0,0,0,1
288,AC,4,2364,3,0,0,0,0,0,1
289,AC,4,2372,0,3,0,0,0,0,1
290,AC,5,1015,0,0,0,0,30,0,1
291,AC,5,1023,0,0,0,0,11,0,1
292,AC,5,1031,0,0,0,0,43,0,1
293,AC,5,1040,0,0,0,0,8,0,1
294,AC,5,1058,0,0,0,0,7,0,1
295,AC,5,1066,0,0,0,0,6,0,1
296,AC,5,1074,0,0,0,0,39,0,1
297,AC,5,1082,0,0,0,0,20,0,1
298,AC,5,1104,0,0,0,0,4,0,1
299,AC,5,1112,0,0,0,0,33,0,1
300,AC,5,1120,0,0,0,0,8,0,1
301,AC,5,1147,0,0,0,0,15,0,1
302,AC,5,1171,0,0,0,0,29,0,1
303,AC,5,1228,0,0,0,0,7,0,1
304,AC,5,1236,0,0,0,0,27,0,1
305,AC,5,1244,0,0,0,0,15,0,1
306,AC,5,1252,0,0,0,0,15,0,1
307,AC,5,1260,0,0,0,0,21,0,1
308,AC,5,1287,0,0,0,0,8,0,1
309,AC,5,1317,0,0,0,0,4,0,1
310,AC,5,1325,0,0,0,0,8,0,1
311,AC,5,1341,0,0,0,0,5,0,1
312,AC,5,1350,0,0,0,0,22,0,1
313,AC,5,1368,0,0,0,0,3,0,1
314,AC,5,1376,0,0,0,0,3,0,1
315,AC,5,1384,0,0,0,0,3,0,1
316,AC,5,1392,0,0,0,0,4,0,1
317,AC,5,1406,0,0,0,0,3,0,1
318,AC,5,1422,0,0,0,0,3,0,1
319,AC,5,1430,0,0,0,0,12,0,1
320,AC,5,1449,0,0,0,0,23,0,1
321,AC,5,1465,0,0,0,0,2,0,1
322,AC,5,1481,0,0,0,0,3,0,1
323,AC,5,1503,0,0,0,0,4,0,1
324,AC,6,1015,0,0,0,0,26,0,1
325,AC,6,1023,0,0,0,0,14,0,1
326,AC,6,1031,0,0,0,0,41,0,1
327,AC,6,1040,0,0,0,0,24,0,1
328,AC,6,1058,0,0,0,0,18,0,1
329,AC,6,1066,0,0,0,0,20,0,1
330,AC,6,1074,0,0,0,0,8,0,1
331,AC,6,1082,0,0,0,0,14,0,1
332,AC,6,1104,0,0,0,0,12,0,1
333,AC,6,1112,0,0,0,0,8,0,1
334,AC,6,1120,0,0,0,0,18,0,1
335,AC,6,1180,0,0,0,0,9,0,1
336,AC,6,1198,0,0,0,0,12,0,1
337,AC,6,1210,0,0,0,0,42,0,1
338,AC,6,1228,0,0,0,0,24,0,1
339,AC,6,1236,0,0,0,0,3,0,1
340,AC,6,1244,0,0,0,0,4,0,1
341,AC,6,1252,0,0,0,0,8,0,1
342,AC,6,1279,0,0,0,0,4,0,1
343,AC,6,1287,0,0,0,0,10,0,1
344,AC,6,1295,0,0,0,0,8,0,1
345,AC,6,1309,0,0,0,0,26,0,1
346,AC,6,1317,0,0,0,0,16,0,1
347,AC,6,1325,0,0,0,0,6,0,1
348,AC,6,1333,0,0,0,0,4,0,1
349,AC,6,1341,0,0,0,0,3,0,1
350,AC,6,1350,0,0,0,0,4,0,1
351,AC,6,1368,0,0,0,0,11,0,1
352,AC,6,1376,0,0,0,0,4,0,1
353,AC,6,1392,0,0,0,0,7,0,1
354,AC,6,1406,0,0,0,0,8,0,1
355,AC,6,1414,0,0,0,0,3,0,1
356,AC,6,1996,0,0,0,0,11,0,1
357,AC,6,2046,0,0,0,0,10,0,1
358,AC,6,2127,0,0,0,0,12,0,1
359,AC,6,2151,0,0,0,0,7,0,1
360,AC,6,2208,0,0,0,0,4,0,1
361,AC,6,2224,0,0,0,0,3,0,1
362,AC,6,2240,0,0,0,0,3,0,1
363,AC,6,2267,0,0,0,0,4,0,1
364,AC,6,2275,0,0,0,0,7,0,1
365,AC,6,2283,0,0,0,0,4,0,1
366,AC,6,2291,0,0,0,0,4,0,1
367,AC,6,2305,0,0,0,0,4,0,1
368,AC,6,2313,0,0,0,0,15,0,1
369,AC,7,1031,0,0,38,0,0,0,1
370,AC,7,1040,0,0,23,0,0,0,1
371,AC,7,1058,0,0,35,0,0,0,1
372,AC,7,1074,0,0,22,0,0,0,1
373,AC,7,1112,0,0,13,0,0,0,1
374,AC,7,1147,0,0,8,0,0,0,1
375,AC,7,1163,0,0,29,0,0,0,1
376,AC,7,1171,0,0,30,0,0,0,1
377,AC,7,1180,0,0,15,0,0,0,1
378,AC,7,1198,0,0,6,0,0,0,1
379,AC,7,1201,0,0,7,0,0,0,1
380,AC,7,1210,3,0,4,0,0,0,2
381,AC,7,1228,0,0,7,0,0,0,1
382,AC,7,1236,0,0,4,0,0,0,1
383,AC,7,1244,0,0,16,0,0,0,1
384,AC,7,1252,0,0,4,0,0,0,1
385,AC,7,1260,0,0,4,0,0,0,1
386,AC,7,1279,0,0,6,0,0,0,1
387,AC,7,1295,0,0,3,0,0,0,1
388,AC,7,1309,0,0,3,0,0,0,1
389,AC,7,1317,0,0,3,0,0,0,1
390,AC,7,1325,0,0,19,0,0,0,1
391,AC,7,1333,0,0,3,0,0,0,1
392,AC,7,1341,0,0,8,0,0,0,1
393,AC,8,1015,16,0,0,0,0,4,2
394,AC,8,1023,27,0,0,0,0,8,2
395,AC,8,1031,16,0,0,0,0,20,2
396,AC,8,1040,21,0,0,0,0,8,2
397,AC,8,1058,16,0,0,0,0,0,1
398,AC,8,1066,14,0,0,0,0,16,2
399,AC,8,1074,32,0,0,0,0,22,2
400,AC,8,1082,14,0,0,0,0,16,2
401,AC,8,1090,0,0,0,0,0,22,1
402,AC,8,1104,21,0,0,0,0,0,1
403,AC,8,1112,23,0,0,0,0,0,1
404,AC,8,1120,22,0,0,0,0,0,1
405,AC,8,1139,7,0,0,0,0,8,2
406,AC,8,1147,4,0,0,0,0,0,1
407,AC,8,1155,4,0,0,0,0,23,2
408,AC,8,1163,11,0,0,0,0,0,1
409,AC,8,1171,3,0,0,0,0,0,1
410,AC,8,1180,4,0,0,0,0,0,1
411,AC,8,1198,3,0,0,0,0,0,1
412,AC,8,1201,7,0,0,0,0,0,1
413,AC,8,1210,7,0,0,0,0,13,2
414,AC,8,1228,6,0,0,0,0,0,1
415,AC,8,1236,7,0,0,0,0,0,1
416,AC,8,1244,4,0,0,0,0,0,1
417,AC,8,1260,3,0,0,0,0,0,1
418,AC,8,1295,4,0,0,0,0,0,1
419,AC,8,1309,0,0,0,0,0,6,1
420,AC,8,1317,4,0,0,0,0,0,1
421,AC,8,1333,0,0,0,0,0,8,1
422,AC,8,1368,4,0,0,0,0,0,1
423,AC,8,1376,0,0,0,0,0,4,1
424,AC,8,1392,0,0,0,0,0,7,1
425,AC,8,1406,0,0,0,0,0,4,1
426,AC,8,1422,0,0,0,0,0,11,1
427,AC,8,1457,3,0,0,0,0,0,1
428,AC,8,1481,0,0,0,0,0,12,1
429,AC,8,1546,26,0,0,0,0,0,1
430,AC,8,1562,7,0,0,0,0,0,1
431,AC,8,1570,7,0,0,0,0,0,1
432,AC,8,1589,9,0,0,0,0,0,1
433,AC,8,1597,2,0,0,0,0,0,1
434,AC,8,1600,10,0,0,0,0,0,1
435,AC,8,1619,4,0,0,0,0,0,1
436,AC,8,1627,8,0,0,0,0,0,1
437,AC,8,1651,8,0,0,0,0,0,1
438,AC,8,1694,3,0,0,0,0,0,1
439,AC,8,1724,8,0,0,0,0,0,1
440,AC,9,1015,0,0,0,0,0,19,1
441,AC,9,1023,7,0,0,11,0,16,3
442,AC,9,1031,0,0,0,0,0,20,1
443,AC,9,1040,0,0,0,2,0,15,2
444,AC,9,1058,0,0,0,12,0,20,2
445,AC,9,1066,0,0,4,3,0,20,3
446,AC,9,1074,0,0,0,7,0,15,2
447,AC,9,1082,4,0,0,4,0,16,3
448,AC,9,1090,0,0,0,11,0,15,2
449,AC,9,1104,0,0,0,24,0,28,2
450,AC,9,1112,0,0,0,31,0,16,2
451,AC,9,1120,0,0,0,7,0,0,1
452,AC,9,1139,0,0,0,0,0,24,1
453,AC,9,1147,0,0,0,3,0,20,2
454,AC,9,1155,0,0,0,0,0,20,1
455,AC,9,1163,0,0,0,0,0,16,1
456,AC,9,1171,0,0,0,0,0,23,1
457,AC,9,1180,15,0,0,0,0,0,1
458,AC,9,1198,0,0,0,0,0,36,1
459,AC,9,1201,0,0,0,0,0,23,1
460,AC,9,1210,0,0,0,0,0,8,1
461,AC,9,1228,0,0,0,0,0,12,1
462,AC,9,1236,0,0,0,0,0,20,1
463,AC,9,1244,0,0,0,0,0,16,1
464,AC,9,1252,0,0,0,0,0,24,1
465,AC,9,1260,0,0,0,0,0,20,1
466,AC,9,1287,0,0,0,0,0,8,1
467,AC,9,1295,0,0,0,0,0,12,1
468,AC,9,1309,7,0,0,0,0,0,1
469,AC,9,1317,11,0,0,0,0,0,1
470,AC,9,1325,0,0,0,0,0,8,1
471,AC,9,1333,0,0,0,0,0,28,1
472,AC,9,1350,0,0,0,0,0,15,1
473,AC,9,1368,0,0,0,0,0,12,1
474,AC,9,1376,0,0,0,0,0,12,1
475,AC,9,1384,0,0,0,0,0,14,1
476,AC,9,1406,0,0,0,0,0,12,1
477,AC,9,1422,0,0,0,0,0,16,1
478,AC,9,1430,0,0,0,0,0,8,1
479,AC,9,1449,0,0,0,0,0,8,1
480,AC,9,1457,0,0,0,0,0,8,1
481,AC,9,1490,0,0,0,0,0,8,1
482,AC,9,1503,0,0,0,0,0,16,1
483,AC,9,1520,0,0,0,0,0,24,1
484,AC,9,1538,0,0,0,0,0,16,1
485,AC,9,1554,0,0,0,0,0,12,1
486,AC,9,1562,0,0,0,0,0,8,1
487,AC,9,1570,0,0,0,0,0,20,1
488,AC,9,1589,0,0,0,0,0,16,1
489,AC,9,1597,0,0,0,0,0,12,1
490,AC,9,1600,0,0,0,0,0,19,1
491,AC,9,1619,0,0,0,0,0,16,1
492,AC,9,1627,0,0,0,0,0,19,1
493,AC,9,1635,0,0,0,0,0,16,1
494,AC,9,1643,0,0,0,0,0,12,1
495,AC,9,1660,0,0,0,0,0,11,1
496,AC,9,1678,0,0,0,0,0,16,1
497,AC,9,1686,0,0,0,0,4,0,1
498,AC,9,1694,0,0,0,0,0,9,1
499,AC,9,1708,0,0,0,0,0,20,1
500,AC,9,1716,0,0,0,0,0,8,1
501,AC,9,1724,0,0,0,0,0,20,1
502,AC,9,1732,0,0,0,0,0,16,1
503,AC,9,1740,0,0,0,0,0,15,1
504,AC,9,1759,0,0,0,0,0,8,1
505,AC,9,1767,0,0,0,0,0,18,1
506,AC,9,1775,0,0,0,0,0,8,1
507,AC,9,1783,0,0,0,0,0,4,1
508,AC,9,1791,0,0,0,0,7,0,1
509,AC,9,1805,0,0,0,0,3,0,1
